,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
1,LeBron James\jamesle01,CLE,$30963450,$33285709,$35607968,,,,Early Bird,$64249159
2,Mike Conley\conlemi01,MEM,$26540100,$28530608,$30521115,$32511623,$34504132,,Cap Space,$140529829
3,DeMar DeRozan\derozde01,TOR,$26540100,$27739975,$27739975,$27739975,$27739975,,Cap Space,$109760025
4,James Harden\hardeja01,HOU,$26540100,$28299339,$30431854,$32703493,,,Bird Rights,$85271293
5,Al Horford\horfoal01,BOS,$26540100,$27734405,$28928710,$30123015,,,Cap Space,$83203215
6,Russell Westbrook\westbru01,OKC,$26540100,$28530608,$30670404,,,,Bird Rights,$55070708
7,Kevin Durant\duranke01,GSW,$26540100,$27734406,,,,,Cap Space,$26540100
8,Dirk Nowitzki\nowitdi01,DAL,$25000000,$25000000,,,,,Bird Rights,$25000000
9,Carmelo Anthony\anthoca01,NYK,$24559380,$26243760,$27928140,,,,Bird Rights,$50803140
10,Damian Lillard\lillada01,POR,$24328425,$26153057,$27977689,$29802321,$31626953,,1st Round Pick,$139888445
11,Chris Bosh\boshch01,MIA,$23741060,$25289390,$26837720,,,,Bird Rights,$75868170
12,Dwyane Wade\wadedw01,CHI,$23200000,$23800000,,,,,Cap Space,$23200000
13,Dwight Howard\howardw01,ATL,$23180275,$23500000,$23819725,,,,Cap Space,$70500000
14,Chris Paul\paulch01,LAC,$22868828,$24268960,,,,,Bird Rights,$22868828
15,Bradley Beal\bealbr01,WAS,$22116750,$23775506,$25434263,$27093019,$28751775,,Cap Space,$127171313
16,Anthony Davis\davisan02,NOP,$22116750,$23775506,$25434263,$27093019,$28751775,,1st Round Pick,$127171313
17,Andre Drummond\drumman01,DET,$22116750,$23775506,$25434263,$27093019,$28751775,,Cap Space,$98419538
18,Chandler Parsons\parsoch01,MEM,$22116750,$23112004,$24107258,$25102511,,,Cap Space,$94438523
19,Hassan Whiteside\whiteha01,MIA,$22116750,$23775506,$25434263,$27093018,,,Cap Space,$71326519
20,Harrison Barnes\barneha02,DAL,$22116750,$23112004,$24107258,$25102512,,,Cap Space,$69336012
21,Derrick Rose\rosede01,NYK,$21323250,,,,,,Bird Rights,$21323250
22,Marc Gasol\gasolma01,MEM,$21165675,$22642350,$24119025,$25595700,,,Bird Rights,$67927050
23,Kevin Love\loveke01,CLE,$21165675,$22642350,$24119025,$25595700,,,Bird Rights,$67927050
24,DeAndre Jordan\jordade01,LAC,$21165675,$22642350,$24119025,,,,Bird Rights,$43808025
25,Brook Lopez\lopezbr01,BRK,$21165675,$22642350,,,,,Bird Rights,$43808025
26,Nicolas Batum\batumni01,CHO,$20869566,$22434783,$24000000,$25565217,$27130434,,Cap Space,$92869566
27,LaMarcus Aldridge\aldrila01,SAS,$20575005,$21461010,$22347015,,,,Cap Space,$42036015
28,Blake Griffin\griffbl01,LAC,$20140838,$21373950,,,,,Bird Rights,$41514788
29,Paul Millsap\millspa01,ATL,$20072033,$21472407,,,,,Bird Rights,$20072033
30,Ryan Anderson\anderry01,HOU,$18735364,$19578455,$20421546,$21264635,,,Cap Space,$80000000
31,Allen Crabbe\crabbal01,POR,$18500000,$18500000,$19332500,$18500000,,,Cap Space,$56332500
32,Paul George\georgpa01,IND,$18314532,$19508958,$20703384,,,,1st Round Pick,$37823490
33,Luol Deng\denglu01,LAL,$18000000,$17190000,$18000000,$18810000,,,Cap Space,$72000000
34,Kawhi Leonard\leonaka01,SAS,$17638063,$18868625,$20099189,$21329752,,,Bird Rights,$56605877
35,Kyrie Irving\irvinky01,CLE,$17638063,$18868625,$20099188,$21329750,,,Bird Rights,$56605876
36,Jimmy Butler\butleji01,CHI,$17552209,$18696918,$19841624,$19841624,,,Bird Rights,$56090751
37,Tobias Harris\harrito02,DET,$17200000,$16000000,$14800000,,,,Bird Rights,$48000000
38,Enes Kanter\kanteen01,OKC,$17145838,$17884176,$18622514,,,,Bird Rights,$35030014
39,Wesley Matthews\matthwe02,DAL,$17100000,$17900000,$18600000,,,,Cap Space,$53600000
40,Greg Monroe\monrogr01,MIL,$17100000,$17900000,,,,,Cap Space,$17100000
41,Evan Fournier\fournev01,ORL,$17000000,$17000000,$17000000,$17000000,$17000000,,Cap Space,$85000000
42,Joakim Noah\noahjo01,NYK,$17000000,$17765000,$18530000,$19295000,,,Cap Space,$72590000
43,Bismack Biyombo\biyombi01,ORL,$17000000,$17000000,$17000000,$18872365,,,Cap Space,$51000000
44,John Wall\walljo01,WAS,$16957900,$18063850,$19169800,,,,1st Round Pick,$54191550
45,DeMarcus Cousins\couside01,NOP,$16957900,$18063850,,,,,1st Round Pick,$35021750
46,Klay Thompson\thompkl01,GSW,$16663575,$17826150,$18988725,,,,1st Round Pick,$53478450
47,Evan Turner\turneev01,POR,$16393443,$17131148,$17868852,$18606557,,,Cap Space,$70000000
48,Gordon Hayward\haywago01,UTA,$16073140,$16736710,,,,,Bird Rights,$16073140
49,Timofey Mozgov\mozgoti01,LAL,$16000000,$15280000,$16000000,$16720000,,,Cap Space,$64000000
50,Ian Mahinmi\mahinia01,WAS,$15944154,$16661641,$15944154,$15450051,,,Cap Space,$64000000
51,Goran Dragic\dragigo01,MIA,$15890000,$17000000,$18110000,$19220000,,,Bird Rights,$51000000
52,Kent Bazemore\bazemke01,ATL,$15730338,$16910113,$18089887,$19269662,,,Cap Space,$50730338
53,Pau Gasol\gasolpa01,SAS,$15500000,$16197500,,,,,Cap Space,$15500000
54,Draymond Green\greendr01,GSW,$15330435,$16400000,$17469565,$18539130,,,Bird Rights,$67739130
55,Tristan Thompson\thomptr01,CLE,$15330435,$16400000,$17469565,$18539130,,,Bird Rights,$67739130
56,Khris Middleton\middlkh01,MIL,$15200000,$14100000,$13000000,$13000000,,,Bird Rights,$42300000
57,Danilo Gallinari\gallida01,DEN,$15050000,$16100000,,,,,,$15050000
58,Jeff Green\greenje02,ORL,$15000000,,,,,,Cap Space,$15000000
59,Reggie Jackson\jacksre01,DET,$14956522,$16000000,$17043478,$18086956,,,Bird Rights,$66086956
60,Tony Parker\parketo01,SAS,$14445313,$15453126,,,,,Bird Rights,$29898439
61,Jonas Valanciunas\valanjo01,TOR,$14382022,$15460675,$16539326,$17617977,,,1st Round Pick,$46382023
62,DeMarre Carroll\carrode01,TOR,$14200000,$14800000,$15400000,,,,Cap Space,$44400000
63,Thaddeus Young\youngth01,IND,$14153652,$14796348,$13764045,,,,Bird Rights,$28950000
64,Eric Bledsoe\bledser01,PHO,$14000000,$14500000,$15000000,,,,Bird Rights,$43500000
65,Rajon Rondo\rondora01,CHI,$14000000,$13397000,,,,,Cap Space,$17000000
66,Manu Ginobili\ginobma01,SAS,$14000000,,,,,,Cap Space,$14000000
67,Ricky Rubio\rubiori01,MIN,$13550000,$14250000,$14800000,,,,1st Round Pick,$42600000
68,Rudy Gay\gayru01,SAC,$13333333,$14263566,,,,,Bird Rights,$13333333
69,Jamal Crawford\crawfja01,LAC,$13253012,$14264988,$14500000,,,,Cap Space,$30518000
70,Robin Lopez\lopezro01,CHI,$13219250,$13788500,$14357750,,,,Cap Space,$41365500
71,Michael Kidd-Gilchrist\kiddgmi01,CHO,$13000000,$13000000,$13000000,$13000000,,,1st Round Pick,$39000000
72,J.R. Smith\smithjr01,CLE,$12800000,$13760000,$14720000,$15680000,,,Bird Rights,$45150000
73,Brandon Knight\knighbr03,PHO,$12606250,$13618750,$14631250,$15643750,,,,$56500000
74,John Henson\hensojo01,MIL,$12517606,$11672536,$10827466,$9982396,,,1st Round Pick,$45000004
75,Jordan Clarkson\clarkjo01,LAL,$12500000,$11562500,$12500000,$13437500,,,Cap Space,$50000000
76,Miles Plumlee\plumlmi01,CHO,$12500000,$12500000,$12500000,$12500000,,,Bird Rights,$50000000
77,Arron Afflalo\afflaar01,SAC,$12500000,$12500000,,,,,Cap Space,$14000000
78,Tyson Chandler\chandty01,PHO,$12415000,$13000000,$13585000,,,,Cap Space,$39000000
79,Eric Gordon\gordoer01,HOU,$12385364,$12943020,$13500375,$14057730,,,Cap Space,$52886489
80,Marvin Williams\willima02,CHO,$12250000,$13168750,$14087500,$15006250,,,Cap Space,$39506250
81,Serge Ibaka\ibakase01,TOR,$12250000,,,,,,Bird Rights,$12250000
82,Stephen Curry\curryst01,GSW,$12112359,,,,,,Bird Rights,$12112359
83,Nikola Pekovic\pekovni01,MIN,$12100000,$11600000,,,,,Bird Rights,$23700000
84,Kenneth Faried\farieke01,DEN,$12078652,$12921348,$13764045,,,,1st Round Pick,$38764045
85,Marcin Gortat\gortama01,WAS,$12000000,$12782609,$13565218,,,,Bird Rights,$38347827
86,Kemba Walker\walkeke02,CHO,$12000000,$12000000,$12000000,,,,1st Round Pick,$36000000
87,Kyle Lowry\lowryky01,TOR,$12000000,$12000000,,,,,Bird Rights,$12000000
88,Amir Johnson\johnsam01,BOS,$12000000,,,,,,Cap Space,$12000000
89,Nikola Vucevic\vucevni01,ORL,$11750000,$12250000,$12750000,,,,Bird Rights,$36750000
90,Jeremy Lin\linje01,BRK,$11483254,$12000000,$12516746,,,,Cap Space,$23483254
91,Jrue Holiday\holidjr01,NOP,$11286518,,,,,,Bird Rights,$11286518
92,Courtney Lee\leeco01,NYK,$11242000,$11747890,$12253780,$12759670,,,Cap Space,$48003340
93,Solomon Hill\hillso01,NOP,$11241218,$11747073,$12252928,$12758781,,,Cap Space,$48000000
94,Wilson Chandler\chandwi01,DEN,$11200000,$12000000,$12800000,,,,,$36000000
95,Andre Iguodala\iguodan01,GSW,$11131368,,,,,,Bird Rights,$11131368
96,Derrick Favors\favorde01,UTA,$11050000,$12000000,,,,,1st Round Pick,$23050000
97,Andrew Bogut\bogutan01,PHI,$11027027,,,,,,,$11027027
98,Austin Rivers\riverau01,LAC,$11000000,$11825000,$12650000,,,,Cap Space,$22825000
99,Joe Johnson\johnsjo02,UTA,$11000000,$10505000,,,,,Cap Space,$21505000
100,Jon Leuer\leuerjo01,DET,$10991957,$10497319,$10002681,$9508043,,,Cap Space,$41000000
101,Monta Ellis\ellismo01,IND,$10770000,$11230000,$11700000,,,,Cap Space,$22000000
102,Tyreke Evans\evansty01,SAC,$10661286,,,,,,Bird Rights,$10661286
103,Mirza Teletovic\teletmi01,MIL,$10500000,$10500000,$10500000,,,,Cap Space,$31500000
104,Jared Dudley\dudleja01,PHO,$10470000,$10000000,$9530000,,,,Cap Space,$30000000
105,Zach Randolph\randoza01,MEM,$10361445,,,,,,Bird Rights,$10361445
106,Al Jefferson\jeffeal01,IND,$10230179,$9769821,$10000000,,,,Cap Space,$24000000
107,Alec Burks\burksal01,UTA,$10154495,$10845506,$11536515,,,,1st Round Pick,$32536516
108,Terrence Ross\rosste01,ORL,$10000000,$10500000,$10500000,,,,Rookie scale extension,$31000000
109,Danny Green\greenda02,SAS,$10000000,$10000000,$10000000,,,,Bird Rights,$20000000
110,Omer Asik\asikom01,NOP,$9904494,$10595505,$11286516,$11977527,,,Bird Rights,$34786515
111,Iman Shumpert\shumpim01,CLE,$9700000,$10300000,$11000000,,,,Bird Rights,$31000000
112,Matthew Dellavedova\dellama01,MIL,$9607500,$9607500,$9607500,$9607500,,,Cap Space,$38430000
113,Jerryd Bayless\bayleje01,PHI,$9424084,$9000000,$8575916,,,,Cap Space,$27000000
114,Trevor Booker\booketr01,BRK,$9250000,$9125000,,,,,Cap Space,$18375000
115,Meyers Leonard\leoname01,POR,$9213484,$9904495,$10595506,$11286515,,,Cap Space,$41000000
116,Gerald Henderson\hendege02,PHI,$9000000,$9000000,,,,,Cap Space,$10000000
117,Deron Williams\willide01,DAL,$9000000,,,,,,,$9000000
118,Maurice Harkless\harklma01,POR,$8988764,$9662921,$10337079,$11011236,,,Cap Space,$40000000
119,Taj Gibson\gibsota01,OKC,$8950000,,,,,,Bird Rights,$8950000
120,Jeff Teague\teaguje01,IND,$8800000,,,,,,Bird Rights,$8800000
121,Tiago Splitter\splitti01,PHI,$8550000,,,,,,Bird Rights,$8550000
122,Ersan Ilyasova\ilyaser01,ATL,$8400000,,,,,,Bird Rights,$8400000
123,Dwight Powell\poweldw01,DAL,$8375000,$9003125,$9631250,$10259375,,,Cap Space,$27009375
124,Avery Bradley\bradlav01,BOS,$8269663,$8808989,,,,,Bird Rights,$17078652
125,E'Twaun Moore\mooreet01,NOP,$8081363,$8445024,$8808685,$8664928,,,Cap Space,$34000000
126,Darrell Arthur\arthuda01,DEN,$8070175,$7464912,$7464912,,,,Cap Space,$15535087
127,Kosta Koufos\koufoko01,SAC,$8046500,$8393000,$8739500,,,,Cap Space,$16439500
128,Garrett Temple\templga01,SAC,$8000000,$8000000,$8000000,,,,Cap Space,$24000000
129,Anthony Tolliver\tollian01,SAC,$8000000,$8000000,,,,,Cap Space,$10000000
130,George Hill\hillge01,UTA,$8000000,,,,,,Bird Rights,$8000000
131,Sergio Rodriguez\rodrise01,PHI,$8000000,,,,,,Cap Space,$8000000
132,Kevin Garnett\garneke01,MIN,$8000000,,,,,,,$8000000
133,Tyler Zeller\zellety01,BOS,$8000000,$8000000,,,,,Cap Space,$8000000
134,Trevor Ariza\arizatr01,HOU,$7806971,$7420912,,,,,Bird Rights,$15227883
135,Channing Frye\fryech01,CLE,$7806971,$7420912,,,,,Cap Space,$15227883
136,Jose Calderon\caldejo01,LAL,$7708427,,,,,,,$7708427
137,Al-Farouq Aminu\aminual01,POR,$7680965,$7319035,$6957105,,,,Cap Space,$21957105
138,Cole Aldrich\aldrico01,MIN,$7643979,$7300000,$6956021,,,,Cap Space,$17000000
139,Corey Brewer\breweco01,LAL,$7600000,$7600000,,,,,Cap Space,$15200000
140,Markieff Morris\morrima02,WAS,$7400000,$8000000,$8600000,,,,Bird Rights,$24000000
141,Festus Ezeli\ezelife01,POR,$7400000,$7733000,,,,,Cap Space,$8400000
142,J.J. Redick\redicjj01,LAC,$7377500,,,,,,Bird Rights,$7377500
143,Cory Joseph\josepco01,TOR,$7330000,$7660000,$8000000,,,,Cap Space,$14990000
144,D.J. Augustin\augusdj01,ORL,$7250000,$7250000,$7250000,$7250000,,,Cap Space,$29000000
145,Boban Marjanovic\marjabo01,DET,$7000000,$7000000,$7000000,,,,Cap Space,$21000000
146,Lou Williams\willilo02,HOU,$7000000,$7000000,,,,,Cap Space,$14000000
147,Boris Diaw\diawbo01,UTA,$7000000,$7500000,,,,,Bird Rights,$7000000
148,Rodney Stuckey\stuckro01,IND,$7000000,$7500000,,,,,Cap Space,$7000000
149,Ed Davis\davised01,POR,$6666667,$6352531,,,,,Cap Space,$13019198
150,Isaiah Thomas\thomais02,BOS,$6587132,$6261395,,,,,,$12848527
151,Victor Oladipo\oladivi01,OKC,$6552960,$21000000,$21000000,$21000000,$21000000,,1st Round Pick,$90552960
152,Jodie Meeks\meeksjo01,ORL,$6540000,,,,,,Cap Space,$6540000
153,Jeremy Lamb\lambje01,CHO,$6511628,$7000000,$7488372,,,,Rookie scale extension,$21000000
154,Carl Landry\landrca01,PHI,$6500000,,,,,,,$6500000
155,Aron Baynes\baynear01,DET,$6500000,$6500000,,,,,Cap Space,$6500000
156,Spencer Hawes\hawessp01,MIL,$6348759,$6021175,,,,,MLE,$6348759
157,Marco Belinelli\belinma01,CHO,$6333333,$6333333,,,,,Cap Space,$12666666
158,Jae Crowder\crowdja01,BOS,$6286408,$6796117,$7305825,$7815533,,,Bird Rights,$28203883
159,Lance Thomas\thomala01,NYK,$6191000,$6655325,$7119650,$7583975,,,Cap Space,$19965975
160,Tarik Black\blackta01,LAL,$6191000,$6655325,,,,,Cap Space,$6191000
161,Matt Barnes\barnema02,SAC,$6125000,$6400625,,,,,,$6125000
162,Andrew Nicholson\nichoan01,BRK,$6088993,$6362998,$6637002,$6911007,,,Cap Space,$19088993
163,Patrick Patterson\pattepa01,TOR,$6050000,,,,,,Bird Rights,$6050000
164,Andrew Wiggins\wiggian01,MIN,$6006600,$7574322,,,,,1st Round Pick,$13580922
165,Ish Smith\smithis01,DET,$6000000,$6000000,$6000000,,,,Cap Space,$18000000
166,Patrick Beverley\beverpa01,HOU,$6000000,$5500000,$5000000,,,,Bird Rights,$11500000
167,Wayne Ellington\ellinwa01,MIA,$6000000,$6270000,,,,,Cap Space,$6000000
168,Ramon Sessions\sessira01,CHO,$6000000,$6270000,,,,,Cap Space,$6000000
169,Alex Abrines\abrinal01,OKC,$5994764,$5725000,$5455236,,,,Cap Space,$17175000
170,Karl-Anthony Towns\townska01,MIN,$5960160,$6216840,$7839435,,,,1st round pick,$12177000
171,Ben Simmons\simmobe01,PHI,$5903160,$6168840,$6434520,$8113930,,,1st Round pick,$12072000
172,Otto Porter\porteot01,WAS,$5893981,,,,,,1st Round Pick,$5893981
173,Josh McRoberts\mcrobjo01,MIA,$5782450,$6021175,,,,,MLE,$5782450
174,Shaun Livingston\livinsh01,GSW,$5782450,,,,,,MLE,$5782450
175,Nikola Mirotic\mirotni01,CHI,$5782450,,,,,,Cap Space,$5782450
176,Brandan Wright\wrighbr03,MEM,$5700000,$6000000,,,,,MLE,$11700000
177,Tyler Johnson\johnsty01,MIA,$5628000,$5881260,$19245370,$19245370,,,Cap Space,$30754630
178,Wesley Johnson\johnswe01,LAC,$5628000,$5881260,$6134000,,,,Cap Space,$11509260
179,Jared Sullinger\sullija01,PHO,$5628000,,,,,,,$5628000
